"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-12-31,"Vienna","NY","Utica","Oneida",5488,125100,0.00481927710843374,0.0113177041228779,0.0610687022900763,0.00835907855316131,0.0369881789252886,"2014-12","2014-Q4",125100,0,"2014-12"
2014-12-31,"Brookhaven","WV","Morgantown","Monongalia",5489,166300,0.00483383685800604,0.0140243902439024,0.0316377171215881,0.00108590989552093,,"2009-09","2009-Q3",166700,-0.0023995200959808,
2014-12-31,"Amissville","VA","Culpeper","Culpeper",5490,342300,0.0130216040248594,0.042326431181486,0.103837471783296,0.0421166624967826,-0.00522222078291301,"2005-10","2005-Q4",398800,-0.141675025075226,"2004-10"
2014-12-31,"Lower Oxford Township","PA","Philadelphia","Chester",5491,239700,0.00167154199749269,0.0118193330519206,0.0782726045883941,-0.000416666811372868,0.00944190296151426,"2006-09","2006-Q3",257700,-0.069848661233993,"2005-09"
2014-12-31,"Pinetop","AZ","Show Low","Navajo",5492,238700,0.000419111483654652,0.00462962962962963,0.0478489903424056,-0.015430126977082,0.00723402026175357,"2007-07","2007-Q3",350700,-0.31936127744511,"2005-05"
2014-12-31,"Town of Mexico","NY","Syracuse","Oswego",5493,102600,0.00293255131964809,-0.000973709834469328,0.00391389432485323,0.0098353267491178,0.019718953060061,"2013-11","2013-Q4",103200,-0.00581395348837209,"2013-09"
2014-12-31,"Pinetops","NC","Rocky Mount","Edgecombe",5494,61600,-0.00805152979066022,-0.00162074554294976,0.142857142857143,0.016715701692579,0.0046628389213812,"2014-11","2014-Q4",62100,-0.00805152979066022,"2014-09"
2014-12-31,"Mechanicville","NY","Albany","Saratoga",5495,140100,0.00358166189111748,0.0196506550218341,0.0362426035502959,-0.00450659100483641,0.0155224127257325,"2011-03","2011-Q1",150500,-0.0691029900332226,"2009-04"
2014-12-31,"Summerdale","AL","Daphne","Baldwin",5496,139500,-0.00214592274678112,-0.00499286733238231,0.0656990068754775,0.0507738726401883,0.0153405683738059,"2007-01","2007-Q1",154500,-0.0970873786407767,"2006-04"
2014-12-31,"Martic","PA","Lancaster","Lancaster",5497,201800,-0.0019782393669634,-0.0122369065100343,-0.0165692007797271,-0.000988144223144971,0.0168182433486801,"2007-04","2007-Q2",209600,-0.0372137404580153,"2006-12"
2014-12-31,"Media","PA","Philadelphia","Delaware",5498,257800,0.00155400155400155,0.00585251658213032,0.0307876849260296,-0.00284598109556411,0.0236323224874133,"2007-10","2007-Q4",264400,-0.0249621785173979,"2007-04"
2014-12-31,"Surgoinsville","TN","Kingsport","Hawkins",5499,108200,-0.0018450184501845,0.0074487895716946,0.164693218514532,0.0202084440961829,0.0215781202582008,"2014-11","2014-Q4",108400,-0.0018450184501845,"2014-10"
2014-12-31,"Roan Mountain","TN","Johnson City","Carter",5500,120600,0.0325342465753425,0.0825852782764812,0.110497237569061,0.00301210276560782,0.0425527013463467,"2010-09","2010-Q3",125400,-0.0382775119617225,"2010-07"
2014-12-31,"Arnold","PA","Pittsburgh","Westmoreland",5501,54900,0.0147874306839187,0.0477099236641221,0.102409638554217,0.016044845631918,0.00818952944954154,"2007-05","2007-Q2",56800,-0.0334507042253521,"2007-01"
2014-12-31,"Grasonville","MD","Baltimore","Queen Annes",5502,367000,-0.00515044727568447,-0.00434074877916441,0.0274356103023516,-0.0101981271572462,-0.00467324476202113,"2007-08","2007-Q3",455300,-0.193938062815726,"2004-10"
2014-12-31,"Town of Charlestown","NH","Claremont","Sullivan",5503,124000,-0.00161030595813205,-0.00720576461168935,-0.0606060606060606,-0.0245367427625578,-0.00912191612505031,"2007-09","2007-Q3",161800,-0.233621755253399,"2004-05"
2014-12-31,"German Township","PA","Pittsburgh","Fayette",5504,70100,-0.00567375886524823,-0.00142450142450142,0.0685975609756098,0.0725022545574923,0.0460225557681329,"2014-10","2014-Q4",70800,-0.00988700564971751,"2014-09"
2014-12-31,"Snow Camp","NC","Burlington","Alamance",5505,145800,0.00137362637362637,0.00137362637362637,0.0181564245810056,0.0129728417351749,0.00750212945533901,"2007-12","2007-Q4",147300,-0.010183299389002,"2007-06"
2014-12-31,"Amanda","OH","Columbus","Fairfield",5506,134700,0.00148698884758364,0.0143072289156627,0.0433772269558482,0.00269424651556549,0.00653950311541629,"2014-12","2014-Q4",134700,0,"2014-12"
2014-12-31,"Coker","AL","Tuscaloosa","Tuscaloosa",5507,159300,0.00631711939355654,0.0337443218689163,0.113986013986014,0.0342705130852874,0.0179783991291864,"2014-12","2014-Q4",159300,0,"2014-12"
2014-12-31,"Pinson","AL","Birmingham","Jefferson",5508,105100,0.00286259541984733,0.0233690360272639,0.0637651821862348,-0.0156071507634008,-0.00244074714902054,"2006-06","2006-Q2",120600,-0.128524046434494,"2003-09"
2014-12-31,"Bristol","WI","Chicago","Kenosha",5509,220300,0.00501824817518248,0.00916170407695831,0.0251279664960447,-0.0143412995010732,-0.0108125142025897,"2007-06","2007-Q2",263800,-0.164897649734647,"2003-11"
2014-12-31,"Hampden","MA","Springfield","Hampden",5510,248700,-0.00280673616680032,-0.00240673886883273,0.00892494929006085,-0.00247448755595137,-0.00331626535098795,"2005-12","2005-Q4",279800,-0.111150822015726,"2004-09"
2014-12-31,"Enola","PA","Harrisburg","Cumberland",5511,119200,-0.0016750418760469,-0.00914380714879468,-0.0189300411522634,-0.00834404238952102,0.0166056287567751,"2009-09","2009-Q3",125600,-0.0509554140127389,"2007-02"
2014-12-31,"Oberlin","OH","Cleveland","Lorain",5512,117400,0.00427715996578272,0.0173310225303293,0.0407801418439716,-0.00585814381210847,-0.00641191053401424,"2007-08","2007-Q3",135600,-0.134218289085546,"2002-07"
2014-12-31,"Paradise Township","PA","Lancaster","Lancaster",5513,200200,0,-0.00497017892644135,0.00350877192982456,-0.0177908136467848,0.0140084923639243,"2010-01","2010-Q1",219200,-0.0866788321167883,"2006-06"
2014-12-31,"Eutawville","SC","Orangeburg","Orangeburg",5514,103400,-0.00193050193050193,-0.0226843100189036,-0.13109243697479,-0.0291765207842399,0.0104398428623054,"2007-11","2007-Q4",132200,-0.2178517397882,"2005-05"
2014-12-31,"Ardmore","AL","Huntsville","Madison",5515,143200,0.0221270521056388,0.0452554744525547,0.0192170818505338,0.00524925999330428,,"2007-05","2007-Q2",157400,-0.0902160101651842,"2006-08"
2014-12-31,"Obetz","OH","Columbus","Franklin",5516,88800,-0.00224719101123596,0.00680272108843537,0.00909090909090909,-0.016289773264169,-0.0140526292209822,"2007-03","2007-Q1",106900,-0.169317118802619,"1999-09"
2014-12-31,"Lascassas","TN","Nashville","Rutherford",5517,170000,0.00413467217956291,0.0179640718562874,0.0493827160493827,0.0204965507153962,0.0221899977099882,"2014-12","2014-Q4",170000,0,"2014-12"
2014-12-31,"Rancho Santa Fe","CA","San Diego","San Diego",5518,2226500,0.000629185205159319,-0.00076294767076564,-0.00558284948637785,0.0106341814977078,-0.0125686718838561,"2005-11","2005-Q4",2644600,-0.158095742267262,"2004-03"
2014-12-31,"Springfield Township","PA","Philadelphia","Bucks",5519,311600,0.00874069278083522,0.0260125123477116,0.0652991452991453,0.00835697512152023,0.00400197078522968,"2006-04","2006-Q2",338300,-0.0789240319243275,"2005-03"
2014-12-31,"Stanley","WI","Eau Claire","Chippewa",5520,113400,0.0026525198938992,0.0179533213644524,-0.00613496932515337,0.0162867747414011,0.022025711431318,"2014-03","2014-Q1",120400,-0.0581395348837209,"2013-12"
2014-12-31,"Mount Arlington","NJ","New York","Morris",5521,304200,0.00429184549356223,0.00895522388059702,0.0997830802603037,-0.00260929845957669,-0.0103049157773912,"2006-06","2006-Q2",379100,-0.197573199683461,"2004-03"
2014-12-31,"Montrose-Ghent","OH","Akron","Summit",5522,297100,0.00371621621621622,0.0157264957264957,0.0603140613847252,0.00645081987192375,0.000743522940978458,"2006-09","2006-Q3",305200,-0.0265399737876802,"2006-03"
2014-12-31,"Devon-Berwyn","PA","Philadelphia","Chester",5523,478600,0.00314399496960805,0.00609627916754257,0.0755056179775281,0.0224566972605331,0.0138975646986246,"2014-12","2014-Q4",478600,0,"2014-12"
